NI RH RM RS V DG DM DS
4037 12 1 24 + 13 24 2
4038 12 1 53 - 18 51 52
4039 12 1 54 - 18 53 8
4040 12 2 5 + 17 49 26
4041 12 2 12 + 62 8 13
4042 12 2 47 + 20 9 51
4043 12 2 23 + 4 19 48
4044 12 2 29 - 0 12 45
4045 12 2 42 + 1 58 37
4045 12 2 43 + 1 57 8
4046 12 2 42 + 1 58 37
4047 12 2 51 + 48 38 12
4048 12 2 50 + 18 0 56
4049 12 2 55 + 18 45 9
4050 12 2 54 - 16 22 27
4051 12 3 10 + 44 31 55
4052 12 2 0 - 63 13 18
4053 12 3 12 + 19 43 45
4054 12 3 12 + 57 53 36
4054 12 3 14 + 57 53 29
4055 12 4 2 + 20 13 58
4056 12 3 58 + 20 18 47
4057 12 4 6 + 20 14 9
4058 12 3 49 + 3 32 53
4059 12 4 11 + 20 24 35
4060 12 4 1 + 20 20 17
4061 12 4 2 + 20 13 58
4062 12 4 4 + 31 53 43
4063 12 4 6 + 1 50 49
4064 12 4 11 + 18 26 36
4065 12 4 6 + 20 14 9
4066 12 4 9 + 20 20 52
4067 12 4 12 + 10 51 16
4068 12 4 2 + 52 35 26
4069 12 4 6 + 20 19 28
4070 12 4 11 + 20 24 35
4071 12 4 15 - 67 18 33
4072 12 4 14 + 20 12 37
4073 12 4 27 + 1 53 47
4074 12 4 30 + 20 19 1
4075 12 4 38 + 2 4 22
4076 12 4 33 + 20 12 16
4077 12 4 38 + 1 47 18
4078 12 4 48 + 10 35 45
4079 12 4 50 - 2 22 59
4080 12 4 52 + 26 59 32
4081 12 4 33 + 64 26 14
4082 12 5 11 + 10 40 15
4083 12 5 14 + 10 36 49
4084 12 5 15 + 21 12 54
4085 12 5 22 + 50 21 12
4086 12 5 29 + 20 14 50
4087 12 5 35 - 26 31 20
4088 12 5 35 + 50 32 26
4089 12 5 38 + 20 33 23
4090 12 5 28 + 20 18 33
4091 12 5 40 + 20 33 23
4092 12 5 50 + 20 28 39
4093 12 5 51 + 20 31 20
4094 12 5 54 - 14 31 34
4095 12 5 54 + 20 34 25
4096 12 6 1 + 47 28 33
4097 12 6 2 + 36 51 50
4098 12 6 4 + 20 36 28
4098 12 6 4 + 20 36 19
4099 12 6 4 + 20 36 28
4099 12 6 4 + 20 36 19
4100 12 6 8 + 49 34 58
4101 12 6 11 + 25 33 25
4102 12 6 23 + 52 42 39
4103 12 6 40 - 61 15 0
4104 12 6 39 + 28 10 25
4105 12 6 41 - 29 45 36
4106 12 6 46 - 29 46 6
4107 12 4 48 + 10 35 45
4108 12 6 44 + 67 9 48
4108 12 5 50 + 67 15 9
4108 12 7 12 + 67 14 8
4109 12 6 51 + 42 59 46
4110 12 7 3 + 18 31 55
4111 12 7 3 + 43 4 0
4112 12 7 9 - 40 12 28
4113 12 7 9 + 32 59 46
4114 12 7 12 - 14 11 5
4115 12 7 9 + 14 24 25
4116 12 7 37 + 2 41 28
4117 12 7 46 + 43 7 35
4118 12 7 53 + 43 6 41
4119 12 8 10 + 10 22 44
4120 12 8 31 + 69 32 40
4121 12 7 57 + 65 6 52
4122 12 7 9 + 32 59 46
4123 12 8 11 + 2 52 42
4124 12 8 10 + 10 22 44
4125 12 8 6 + 65 10 28
4126 12 8 37 + 16 8 35
4127 12 8 26 + 76 48 16
4128 12 8 32 + 68 46 5
4128 12 8 14 + 68 47 9
4129 12 8 53 - 9 2 12
4130 12 8 53 - 9 2 12
4131 12 8 47 + 29 18 17
4132 12 9 2 + 29 15 1
4133 12 8 49 + 74 54 16
4134 12 9 10 + 29 10 37
4135 12 9 9 + 44 0 13
4136 12 9 18 + 29 55 40
4137 12 9 17 + 44 5 24
4138 12 9 30 + 43 41 8
4139 12 4 34 + 1 48 5
4140 12 4 38 + 1 47 18
4141 12 9 47 + 58 50 58
4142 12 9 30 + 53 6 14
4143 12 9 36 + 42 32 4
4144 12 9 59 + 46 27 26
4145 12 10 2 + 39 52 58
4145 12 10 54 + 39 45 26
4145 12 10 53 + 39 44 55
4146 12 10 18 + 26 25 52
4147 12 10 6 + 18 32 33
4148 12 10 8 + 35 52 42
4149 12 10 33 + 58 18 14
4150 12 10 34 + 30 24 7
4151 12 10 32 + 39 24 24
4152 12 10 38 + 16 1 59
4153 12 10 6 + 18 32 33
4154 12 10 33 + 58 18 14
4155 12 10 46 + 19 2 28
4156 12 10 49 + 39 28 23
4157 12 11 4 + 50 29 5
4158 12 11 10 + 20 10 33
4159 12 10 53 + 76 7 35
4160 12 12 12 + 43 44 18
4161 12 11 33 + 57 44 15
4162 12 11 53 + 24 7 26
4163 12 12 9 + 36 10 7
4164 12 12 5 + 13 12 21
4165 12 12 12 + 13 14 46
4166 12 12 10 + 17 45 26
4167 12 12 9 + 36 10 7
4168 12 12 17 + 13 12 16
4169 12 12 19 + 29 10 46
4170 12 12 13 + 29 10 2
4171 12 12 38 + 29 13 30
4172 12 12 15 + 56 10 35
4173 12 12 22 + 29 12 26
4174 12 12 27 + 29 8 57
4175 12 12 31 + 29 10 7
4176 12 12 37 - 9 9 37
4177 12 12 41 - 14 0 50
4178 12 12 46 + 10 51 51
4179 12 12 52 + 1 17 59
4180 12 13 3 + 7 2 22
4181 12 12 49 + 52 54 14
4182 12 13 20 + 4 2 10
4183 12 13 17 + 43 41 53
4184 12 13 33 - 62 42 47
4185 12 13 22 + 28 30 37
4186 12 14 6 + 14 43 33
4187 12 13 29 + 50 44 30
4187 12 13 29 + 50 44 30
4187 12 13 29 + 50 45 25
4187 12 13 27 + 50 42 37
4188 12 14 7 - 12 35 10
4189 12 13 47 + 13 25 29
4190 12 13 44 + 36 38 1
4191 12 13 50 + 7 12 3
4192 12 13 48 + 14 53 58
4192 12 13 26 + 14 46 20
4192 12 14 6 + 14 43 33
4193 12 13 53 + 13 10 22
4194 12 14 10 + 54 31 35
4195 12 14 18 + 59 36 56
4196 12 14 30 + 28 25 25
4197 12 14 39 + 5 48 22
4198 12 14 22 + 56 0 42
4199 12 14 49 + 59 54 23
4199 12 14 52 + 59 54 30
4200 12 14 44 + 12 10 51
4201 12 14 42 - 11 35 0
4202 12 18 9 - 1 3 50
4203 12 15 5 + 33 11 51
4204 12 15 14 + 20 39 32
4205 12 14 55 + 63 46 56
4206 12 15 17 + 13 1 22
4207 12 15 30 + 9 35 8
4208 12 15 39 + 13 54 7
4209 12 15 41 + 28 28 14
4210 12 15 16 + 65 59 10
4211 12 15 36 + 28 10 39
4211 12 15 36 + 28 10 39
4211 12 15 37 + 28 10 10
4212 12 15 39 + 13 54 7
4213 12 15 38 + 23 58 55
4214 12 15 39 + 36 19 39
4215 12 15 55 + 6 24 3
4216 12 15 54 + 13 8 52
4217 12 15 51 + 47 5 24
4218 12 15 46 + 48 7 54
4219 12 16 27 - 43 19 21
4219 12 17 60 - 43 32 26
4220 12 16 12 + 47 52 59
4221 12 16 0 + 66 13 53
4222 12 16 23 + 13 18 25
4223 12 17 26 + 6 41 22
4224 12 16 34 + 7 27 44
4225 12 16 38 - 12 19 37
4226 12 16 26 + 47 1 32
4227 12 16 34 + 33 31 20
4228 12 15 39 + 36 19 39
4229 12 16 39 + 33 33 40
4230 12 17 16 - 55 5 12
4231 12 16 49 + 47 27 29
4232 12 16 49 + 47 26 20
4233 12 17 8 + 7 37 27
4234 12 17 9 + 3 41 0
4235 12 17 10 + 7 11 27
4236 12 16 43 + 69 27 49
4236 12 16 44 + 69 27 36
4237 12 17 11 + 15 19 24
4238 12 16 56 + 63 24 38
4239 12 17 15 + 16 31 54
4240 12 17 24 - 9 57 6
4241 12 17 60 + 6 39 15
4242 12 17 30 + 45 37 9
4243 12 17 24 - 9 57 6
4244 12 17 30 + 37 48 28
4245 12 17 37 + 29 36 27
4246 12 17 58 + 7 11 8
4247 12 17 58 + 7 16 28
4248 12 17 50 + 47 24 33
4249 12 17 59 + 5 35 57
4250 12 17 26 + 70 48 10
4251 12 18 8 + 28 10 31
4252 12 18 31 + 5 33 36
4253 12 18 26 + 29 48 47
4254 12 18 49 + 14 25 3
4255 12 18 56 + 4 47 11
4256 12 18 43 + 65 53 54
4257 12 19 7 + 5 43 34
4258 12 18 58 + 47 18 25
4259 12 19 22 + 5 22 37
4260 12 19 22 + 6 5 54
4261 12 19 23 + 5 49 28
4262 12 19 31 + 14 52 40
4263 12 19 42 - 12 13 32
4264 12 19 36 + 5 50 49
4265 12 19 42 - 12 13 32
4266 12 19 42 + 5 32 17
4267 12 19 45 + 12 47 54
4268 12 19 47 + 5 17 3
4269 12 19 49 + 6 0 55
4270 12 19 49 + 5 27 48
4271 12 19 33 + 56 44 14
4272 12 19 48 + 30 20 20
4273 12 19 56 + 5 20 37
4274 12 19 51 + 29 36 49
4275 12 19 53 + 27 37 16
4276 12 20 8 + 7 41 29
4277 12 20 4 + 5 20 31
4278 12 20 7 + 29 16 49
4279 12 20 25 - 11 39 58
4280 12 20 32 - 11 39 9
4281 12 20 22 + 5 23 11
4282 12 20 24 + 5 34 24
4283 12 20 21 + 29 18 39
4284 12 20 13 + 58 5 36
4285 12 20 40 - 11 38 32
4286 12 20 42 + 29 20 44
4287 12 20 48 + 5 38 26
4288 12 20 38 + 46 17 40
4288 12 20 41 + 46 15 19
4289 12 21 2 + 3 43 22
4290 12 20 48 + 58 5 33
4291 12 20 17 + 75 22 16
4292 12 21 16 + 4 35 46
4292 12 21 17 + 4 37 59
4293 12 21 13 + 18 22 58
4294 12 21 18 + 11 30 35
4295 12 21 10 + 28 9 56
4296 12 21 28 + 6 39 13
4297 12 21 27 + 6 40 17
4298 12 21 33 + 14 36 24
4299 12 21 41 + 11 30 5
4300 12 21 41 + 5 23 5
4301 12 22 27 + 4 33 57
4302 12 21 42 + 14 35 54
4303 12 21 55 + 4 28 22
4303 12 22 27 + 4 33 57
4304 12 22 13 - 33 29 5
4305 12 22 4 + 12 44 27
4306 12 22 4 + 12 47 15
4307 12 22 5 + 9 2 31
4307 12 22 7 + 8 59 26
4308 12 21 57 + 30 4 27
4309 12 22 15 + 7 9 59
4309 12 22 12 + 7 8 41
4310 12 22 26 + 29 12 29
4311 12 22 26 + 29 12 16
4312 12 22 31 + 15 32 17
4313 12 22 38 + 11 48 4
4314 12 22 32 + 29 53 45
4315 12 22 45 + 9 18 20
4316 12 22 42 + 9 19 57
4317 12 22 41 + 31 2 12
4318 12 22 43 + 8 11 57
4319 12 21 44 + 75 19 21
4320 12 22 58 + 10 32 57
4321 12 22 55 + 15 49 22
4322 12 23 2 + 15 54 19
4323 12 23 16 + 15 54 7
4324 12 23 6 + 5 15 0
4325 12 23 7 + 10 37 18
4326 12 23 12 + 6 4 21
4327 12 23 14 + 15 44 47
4328 12 23 20 + 15 49 13
4329 12 23 21 - 12 33 29
4330 12 23 17 + 11 22 7
4331 12 22 36 + 76 10 7
4332 12 22 47 + 65 50 39
4333 12 23 22 + 6 2 28
4334 12 23 24 + 7 28 24
4335 12 23 2 + 58 26 40
4336 12 23 30 + 19 25 37
4337 12 24 3 - 58 7 25
4338 12 22 26 + 29 12 29
4339 12 23 35 + 6 4 55
4340 12 23 35 + 16 43 22
4341 12 23 53 + 7 6 25
4342 12 23 39 + 7 3 16
4343 12 23 39 + 6 57 16
4344 12 23 38 + 17 32 30
4345 12 21 44 + 75 19 21
4346 12 23 28 + 46 59 38
4347 12 23 52 - 3 14 25
4348 12 23 54 - 3 26 33
4349 12 24 6 - 61 52 13
4350 12 23 58 + 16 41 36
4351 12 24 2 + 12 12 17
4352 12 24 5 + 11 13 4
4353 12 24 0 + 7 47 3
4354 12 24 2 + 12 12 17
4355 12 26 55 - 0 52 40
4356 12 24 15 + 8 32 13
4357 12 23 59 + 48 46 48
4358 12 24 2 + 58 23 7
4359 12 24 11 + 31 31 17
4360 12 24 22 + 9 17 35
4360 12 24 22 + 9 17 35
4360 12 24 15 + 9 16 2
4361 12 24 31 - 18 47 3
4362 12 24 11 + 58 21 39
4363 12 23 29 + 74 57 7
4364 12 24 11 + 58 20 53
4365 12 24 28 + 7 19 3
4366 12 24 47 + 7 21 10
4367 12 24 35 + 12 10 58
4368 12 23 7 + 10 37 18
4369 12 24 36 + 39 22 58
4370 12 24 55 + 7 26 40
4371 12 24 55 + 11 42 15
4372 12 25 45 - 72 39 31
4373 12 25 18 - 39 45 38
4373 12 25 38 - 39 19 11
4373 12 26 44 - 39 8 4
4374 12 25 4 + 12 53 13
4375 12 25 0 + 28 33 31
4376 12 25 18 + 5 44 28
4377 12 25 12 + 14 45 44
4377 12 25 10 + 14 45 43
4377 12 25 13 + 14 45 53
4378 12 25 18 + 4 55 31
4379 12 25 15 + 15 36 28
4380 12 25 22 + 10 1 0
4381 12 23 59 + 48 46 48
4382 12 25 24 + 18 11 27
4383 12 25 26 + 16 28 12
4384 12 25 12 + 54 30 22
4385 12 25 43 + 0 34 21
4386 12 24 28 + 75 31 46
4387 12 25 42 + 12 48 37
4388 12 25 47 + 12 39 43
4389 12 25 35 + 45 41 6
4390 12 25 51 + 10 27 32
4391 12 25 19 + 64 56 1
4392 12 25 19 + 45 50 51
4393 12 25 51 + 27 33 43
4394 12 25 56 + 18 12 51
4395 12 25 49 + 33 32 48
4396 12 25 59 + 15 40 16
4397 12 25 58 + 18 18 6
4398 12 26 7 + 10 41 10
4399 12 25 43 + 33 31 0
4400 12 25 56 + 33 30 57
4401 12 25 58 + 33 31 38
4402 12 26 8 + 13 6 47
4403 12 26 13 - 7 41 5
4404 12 26 16 - 7 40 49
4405 12 26 7 + 16 10 52
4406 12 26 12 + 12 56 47
4407 12 26 32 + 12 36 37
4408 12 26 17 + 27 52 16
4409 12 26 58 + 2 29 39
4410 12 26 28 + 9 1 11
4410 12 26 30 + 9 1 8
4410 12 26 35 + 9 2 9
4411 12 26 47 + 8 53 4
4411 12 26 30 + 8 52 18
4412 12 26 36 + 3 57 53
4413 12 26 32 + 12 36 37
4414 12 26 27 + 31 13 25
4415 12 26 41 + 8 26 10
4416 12 26 47 + 7 55 8
4417 12 26 50 + 9 35 4
4418 12 26 55 - 0 52 40
4419 12 26 56 + 15 2 52
4420 12 26 58 + 2 29 39
4421 12 27 3 + 15 27 39
4422 12 27 12 - 5 49 49
4423 12 27 9 + 5 52 49
4424 12 27 11 + 9 25 17
4425 12 27 13 + 12 44 5
4426 12 27 11 + 27 50 22
4427 12 27 11 + 27 50 22
4428 12 27 28 - 8 10 5
4428 12 27 30 - 8 9 54
4429 12 27 26 + 11 6 27
4430 12 27 26 + 6 15 46
4431 12 27 27 + 12 17 26
4432 12 27 33 + 6 14 0
4433 12 27 39 - 8 16 45
4434 12 27 37 + 8 9 16
4435 12 27 41 + 13 4 47
4436 12 27 41 + 12 18 57
4437 12 32 46 + 0 6 56
4438 12 27 46 + 13 0 31
4439 12 28 26 - 60 6 11
4440 12 27 54 + 12 17 36
4441 12 27 20 + 64 48 8
4442 12 28 4 + 9 48 14
4443 12 29 3 + 13 11 4
4444 12 28 36 - 43 15 44
4445 12 28 16 + 9 26 12
4446 12 28 7 + 13 54 44
4447 12 28 12 + 13 53 59
4448 12 28 16 + 28 37 17
4449 12 28 11 + 44 5 42
4450 12 28 29 + 17 5 3
4451 12 28 41 + 9 15 32
4452 12 28 43 + 11 45 18
4453 12 28 47 + 6 30 44
4454 12 28 51 - 1 56 20
4455 12 28 44 + 22 49 16
4456 12 27 52 - 30 5 52
4457 12 28 59 + 3 34 16
4458 12 28 58 + 13 14 32
4459 12 29 0 + 13 58 43
4460 12 28 46 + 44 51 52
4461 12 29 3 + 13 11 4
4462 12 29 21 - 23 9 59
4463 12 29 55 - 64 47 22
4464 12 29 21 + 8 9 25
4465 12 29 24 + 8 1 34
4466 12 29 31 + 7 41 49
4467 12 29 30 + 7 59 34
4468 12 29 31 + 14 2 57
4469 12 29 28 + 8 45 1
4470 12 29 38 + 7 49 26
4471 12 29 42 + 7 53 46
4472 12 29 47 + 8 0 0
4473 12 29 49 + 13 25 47
4474 12 29 53 + 14 4 7
4475 12 29 48 + 27 14 36
4476 12 29 59 + 12 20 55
4477 12 30 2 + 13 38 13
4478 12 30 17 + 12 19 43
4479 12 30 18 + 13 34 41
4480 12 30 27 + 4 14 45
4481 12 29 49 + 64 2 0
4482 12 30 10 + 10 46 45
4483 12 30 41 + 9 0 56
4484 12 28 53 - 11 39 6
4485 12 30 31 + 41 42 3
4486 12 30 58 + 12 16 16
4486 12 30 32 + 12 29 26
4486 12 30 49 + 12 23 26
4487 12 31 4 - 8 3 13
4488 12 30 51 + 8 21 35
4489 12 30 52 + 16 45 33
4490 12 30 36 + 41 38 34
4491 12 30 57 + 11 29 0
4492 12 30 60 + 8 4 41
4493 12 31 8 + 0 36 51
4493 12 31 11 + 0 36 24
4494 12 31 24 + 25 46 31
4495 12 31 23 + 29 8 12
4496 12 31 39 + 3 56 23
4496 12 31 39 + 3 56 23
4496 12 31 41 + 3 55 36
4497 12 31 33 + 11 37 30
4498 12 31 40 + 16 51 10
4499 12 32 5 - 39 58 57
4500 12 31 22 + 57 57 54
4501 12 31 59 + 14 25 11
4502 12 32 3 + 16 41 17
4503 12 32 6 + 11 10 32
4504 12 32 17 - 7 33 48
4505 12 31 41 + 3 55 36
4506 12 32 11 + 13 25 13
4507 12 35 37 - 39 54 33
4508 12 32 17 + 5 49 10
4509 12 33 7 + 32 5 32
4510 12 31 47 + 64 14 2
4511 12 32 8 + 56 28 16
4512 12 32 48 + 63 56 22
4513 12 32 2 + 66 19 59
4514 12 32 43 + 29 42 44
4515 12 33 5 + 16 15 56
4516 12 33 8 + 14 34 29
4517 12 32 46 + 0 6 56
4517 12 32 28 + 0 23 25
4518 12 33 12 + 7 51 8
4518 12 33 12 + 7 51 8
4518 12 33 11 + 7 50 4
4519 12 33 30 + 8 39 18
4519 12 33 25 + 8 41 26
4520 12 33 50 - 7 22 29
4521 12 32 48 + 63 56 22
4522 12 33 40 + 9 10 27
4523 12 33 48 + 15 10 6
4524 12 33 54 - 12 1 38
4525 12 33 51 + 30 16 39
4526 12 34 3 + 7 41 56
4527 12 34 9 + 2 39 12
4528 12 34 6 + 11 19 16
4529 12 32 52 + 20 11 1
4530 12 33 48 + 41 21 14
4531 12 34 16 + 13 4 33
4532 12 34 19 + 6 28 2
4533 12 34 22 + 2 19 31
4534 12 34 5 + 35 31 6
4535 12 34 20 + 8 11 51
4535 12 34 14 + 8 16 25
4536 12 34 27 + 2 11 14
4537 12 34 49 + 50 48 20
4538 12 34 41 + 3 19 25
4539 12 34 35 + 18 12 10
4540 12 34 51 + 15 33 4
4541 12 35 11 - 0 13 16
4542 12 34 49 + 50 48 20
4543 12 35 20 + 6 6 56
4544 12 35 37 + 3 2 8
4545 12 34 34 + 63 31 29
4546 12 35 30 - 3 47 35
4547 12 34 52 + 58 55 2
4548 12 35 26 + 14 29 47
4549 12 35 21 + 58 56 58
4550 12 35 31 + 12 13 15
4551 12 35 38 + 12 15 50
4552 12 35 40 + 12 33 22
4553 12 36 8 - 39 26 21
4554 12 35 60 + 11 15 55
4555 12 35 41 + 26 31 26
4556 12 35 46 + 26 54 33
4557 12 35 50 + 27 3 14
4558 12 35 53 + 26 59 30
4559 12 35 58 + 27 57 35
4559 12 36 53 + 27 51 45
4559 12 36 54 + 27 44 55
4559 12 35 52 + 27 55 57
4560 12 34 3 + 7 41 56
4561 12 36 8 + 19 19 18
4562 12 35 35 + 25 50 58
4563 12 36 13 + 26 56 30
4564 12 36 27 + 11 26 23
4565 12 36 21 + 25 59 16
4565 12 35 35 + 25 50 58
4565 12 35 42 + 26 13 21
4565 12 35 41 + 26 17 12
4566 12 36 0 + 54 13 14
4567 12 36 33 + 11 15 28
4568 12 36 34 + 11 14 19
4569 12 36 50 + 13 9 50
4570 12 36 53 + 7 14 49
4571 12 36 56 + 14 13 3
4572 12 35 46 + 74 14 46
4573 12 37 44 - 43 37 17
4574 12 37 44 - 35 31 5
4575 12 37 51 - 40 32 15
4576 12 37 34 + 4 22 3
4577 12 39 12 + 6 0 44
4578 12 37 31 + 9 33 20
4579 12 37 44 + 11 49 6
4580 12 37 48 + 5 22 5
4581 12 38 5 + 1 28 42
4582 12 38 10 + 0 11 0
4583 12 38 4 + 33 27 31
4584 12 38 18 + 13 6 38
4585 12 38 13 + 28 56 14
4586 12 38 28 + 4 19 7
4587 12 38 35 + 2 39 28
4588 12 38 45 + 6 46 3
4589 12 37 25 + 74 11 31
4590 12 39 28 - 26 44 32
4591 12 39 12 + 6 0 44
4592 12 39 19 - 0 31 53
4593 12 39 39 - 5 20 38
4594 12 39 59 - 11 37 21
4595 12 39 52 + 15 17 52
4596 12 39 56 + 10 10 35
4597 12 40 12 - 5 48 2
4598 12 40 12 + 8 23 0
4599 12 40 27 + 1 11 48
4600 12 40 23 + 3 7 4
4601 12 40 47 - 40 53 37
4602 12 40 37 - 5 7 57
4603 12 40 55 - 40 58 34
4603 12 39 37 - 40 44 23
4603 12 40 30 - 41 4 12
4603 12 40 43 - 40 45 50
4603 12 42 8 - 40 49 15
4604 12 40 45 - 5 18 10
4605 12 39 59 + 61 36 30
4606 12 40 58 + 11 54 43
4607 12 41 12 + 11 53 8
4608 12 41 13 + 10 9 20
4609 12 42 20 - 62 59 38
4610 12 29 38 + 7 49 26
4611 12 41 25 + 13 43 47
4612 12 41 33 + 7 18 53
4613 12 41 29 + 26 5 18
4614 12 41 32 + 26 2 35
4615 12 41 38 + 26 4 22
4616 12 42 17 - 40 38 30
4617 12 41 6 + 50 23 39
4618 12 41 33 + 41 9 4
4619 12 41 44 + 35 3 46
4620 12 41 59 + 12 56 36
4621 12 42 2 + 11 38 50
4622 12 42 38 - 40 44 38
4622 12 43 49 - 40 42 52
4622 12 43 51 - 40 43 4
4623 12 42 11 + 7 40 35
4624 12 45 6 + 3 3 19
4625 12 41 53 + 41 16 25
4626 12 42 25 - 7 2 41
4627 12 41 60 + 32 34 26
4628 12 42 25 - 6 58 15
4629 12 42 33 - 1 21 3
4630 12 42 31 + 3 57 31
4631 12 42 8 + 32 32 30
4632 12 42 32 - 0 4 50
4633 12 42 37 + 14 21 25
4634 12 42 41 + 14 17 46
4635 12 42 39 + 19 56 48
4636 12 42 50 + 2 41 14
4637 12 42 54 + 11 26 17
4638 12 42 47 + 11 26 33
4639 12 42 52 + 13 15 26
4640 12 42 58 + 12 17 12
4640 12 42 58 + 12 17 12
4640 12 43 2 + 12 17 8
4641 12 43 8 + 12 3 5
4642 12 43 18 - 0 38 42
4643 12 43 20 + 1 58 41
4644 12 42 43 + 55 8 43
4644 12 42 43 + 55 8 43
4644 12 42 53 + 55 8 44
4645 12 44 10 - 41 44 59
4645 12 43 6 - 41 21 34
4645 12 43 31 - 41 21 45
4646 12 42 52 + 54 51 24
4647 12 43 33 + 11 34 58
4648 12 41 44 + 74 25 20
4649 12 43 40 + 11 33 11
4650 12 44 19 - 40 43 55
4650 12 44 49 - 40 42 52
4650 12 45 15 - 40 49 28
4651 12 43 43 + 16 23 37
4652 12 43 20 + 58 57 55
4653 12 43 51 - 0 33 40
4654 12 43 57 + 13 7 35
4655 12 43 36 + 41 1 9
4656 12 43 58 + 32 10 11
4657 12 44 7 + 32 12 33
4658 12 44 38 - 10 5 4
4659 12 44 30 + 13 29 56
4660 12 44 32 + 11 11 26
4661 12 45 15 - 40 49 28
4662 12 44 26 + 37 7 16
4663 12 44 47 - 10 11 53
4664 12 45 6 + 3 3 19
4665 12 45 6 + 3 3 19
4666 12 45 8 - 0 27 46
4667 12 42 47 + 11 26 33
4668 12 45 32 - 0 32 10
4669 12 44 47 + 54 52 34
4670 12 45 17 + 27 7 33
4671 12 45 48 - 7 4 11
4672 12 46 16 - 41 42 21
4673 12 45 35 + 27 3 40
4674 12 46 3 - 8 39 19
4675 12 45 32 + 54 44 14
4676 12 46 10 + 30 43 57
4676 12 46 11 + 30 43 21
4677 12 46 57 - 41 34 57
4678 12 49 42 - 4 34 47
4678 12 49 41 - 4 34 49
4679 12 47 30 - 39 34 16
4680 12 46 55 - 11 38 11
4681 12 47 29 - 43 20 5
4682 12 47 16 - 10 3 50
4683 12 47 42 - 41 31 44
4684 12 47 18 - 2 43 37
4685 12 47 11 + 19 27 53
4686 12 46 40 + 54 32 4
4687 12 47 24 + 35 21 7
4688 12 47 47 + 4 20 9
4689 12 47 46 + 13 45 44
4690 12 47 56 - 1 39 22
4691 12 48 13 - 3 19 57
4692 12 47 55 + 27 13 20
4693 12 47 9 + 71 10 34
4694 12 48 15 + 10 59 2
4695 12 47 32 + 54 22 28
4696 12 48 49 - 41 18 42
4696 12 46 56 - 41 29 51
4696 12 47 22 - 41 14 14
4696 12 48 3 - 40 49 10
4696 12 48 21 - 41 42 52
4696 12 48 26 - 40 56 7
4697 12 48 36 - 5 48 0
4698 12 48 23 + 8 29 18
4699 12 49 2 - 8 39 50
4700 12 49 8 - 11 24 42
4701 12 49 11 + 3 23 20
4702 12 47 55 + 27 13 20
4703 12 49 19 - 9 6 30
4704 12 48 46 + 41 55 16
4705 12 49 25 - 5 11 43
4706 12 49 54 - 41 16 46
4707 12 48 23 + 51 9 48
4708 12 49 42 - 11 5 37
4709 12 50 4 - 41 22 57
4710 12 49 39 + 15 9 53
4711 12 48 46 + 35 19 58
4712 12 49 34 + 25 28 11
4713 12 49 58 + 5 18 40
4714 12 50 19 - 13 19 28
4715 12 49 58 + 27 49 22
4716 12 50 33 - 9 27 3
4717 12 50 35 - 9 27 46
4718 12 50 33 - 5 16 55
4719 12 50 9 + 33 9 33
4720 12 50 43 - 4 9 21
4721 12 50 20 + 27 19 29
4722 12 51 32 - 13 19 48
4723 12 51 3 - 13 14 12
4724 12 50 54 - 14 19 56
4725 12 50 27 + 25 30 0
4726 12 50 46 - 14 16 4
4727 12 50 57 - 14 19 59
4728 12 50 28 + 27 26 7
4728 12 50 28 + 27 26 7
4728 12 50 37 + 27 25 31
4728 12 50 37 + 27 29 1
4729 12 51 46 - 41 7 56
4730 12 52 1 - 41 8 49
4731 12 51 1 - 6 23 33
4731 12 51 13 - 6 33 35
4732 12 50 7 + 52 51 0
4733 12 51 7 + 10 54 43
4734 12 51 13 + 4 51 31
4735 12 51 2 + 28 55 41
4736 12 50 53 + 41 7 17
4737 12 50 53 + 34 9 26
4738 12 51 9 + 28 47 18
4739 12 51 37 - 8 24 35
4740 12 50 57 - 14 19 59
4741 12 50 59 + 47 40 18
4742 12 51 48 - 10 27 17
4743 12 52 16 - 41 23 24
4744 12 52 20 - 41 3 38
4745 12 51 26 + 27 25 18
4745 12 51 26 + 27 25 18
4745 12 51 22 + 27 26 39
4746 12 51 55 + 12 4 59
4747 12 51 45 + 25 46 26
4748 12 52 13 - 13 24 49
4749 12 51 12 + 71 38 6
4750 12 50 7 + 72 52 28
4751 12 52 51 - 42 39 36
4752 12 51 29 + 13 46 57
4753 12 52 22 - 1 12 0
4754 12 52 18 + 11 18 50
4755 12 53 39 - 60 21 42
4756 12 52 52 - 15 24 45
4757 12 52 50 - 10 18 39
4758 12 52 44 + 15 50 55
4759 12 53 5 - 9 11 59
4759 12 53 6 - 9 12 14
4760 12 53 7 - 10 29 41
4761 12 53 10 - 9 11 51
4762 12 52 56 + 11 13 50
4763 12 53 27 - 17 0 21
4764 12 53 7 - 9 15 27
4765 12 53 15 + 4 27 47
4766 12 53 8 - 10 22 43
4767 12 53 53 - 39 42 52
4767 12 53 1 - 39 50 9
4767 12 54 45 - 39 51 11
4768 12 53 17 - 9 31 54
4769 12 53 18 - 9 32 11
4770 12 53 32 - 9 32 28
4771 12 53 21 + 1 16 12
4772 12 53 29 + 2 10 7
4773 12 53 36 - 8 38 18
4773 12 53 36 - 8 38 43
4774 12 53 7 + 36 49 8
4775 12 53 46 - 6 37 22
4776 12 53 5 - 9 11 59
4777 12 53 59 - 8 46 31
