NI RH RM RS V DG DM DS
297 0 54 59 - 7 21 1
298 0 55 2 - 7 20 1
299 0 53 25 - 72 11 47
300 0 54 53 - 37 41 3
301 0 56 18 - 10 40 24
302 0 56 25 - 10 39 44
303 0 54 55 - 16 39 18
304 0 56 6 + 24 7 38
305 0 56 21 + 12 3 48
306 0 54 15 - 72 14 33
307 0 56 33 - 1 46 20
308 0 56 34 - 1 47 1
309 0 56 43 - 9 54 51
310 0 56 48 - 1 45 53
311 0 57 33 + 30 16 49
312 0 56 16 - 52 46 59
313 0 57 46 + 30 22 0
314 0 56 52 - 31 57 47
315 0 57 49 + 30 21 7
316 0 57 52 + 30 21 16
317 0 57 39 + 43 48 5
317 0 57 41 + 43 47 31
318 0 58 5 + 30 25 34
319 0 56 58 - 43 50 19
320 0 58 46 - 20 50 25
321 0 57 39 - 5 5 9
322 0 57 10 - 43 43 37
322 0 57 9 - 43 43 48
323 0 56 42 - 52 58 33
324 0 57 15 - 40 57 34
325 0 57 48 - 5 6 45
326 0 58 23 + 26 51 57
327 0 57 55 - 5 7 51
328 0 56 57 - 52 55 25
329 0 58 1 - 5 4 14
330 0 56 20 - 72 27 44
331 0 47 7 - 2 43 52
332 0 58 49 + 7 6 40
333 0 58 51 - 16 28 8
333 0 58 51 - 16 28 8
333 0 58 51 - 16 28 19
334 0 58 50 - 35 6 56
335 0 59 20 - 18 14 3
336 0 58 3 - 18 23 9
337 0 59 50 - 7 34 41
337 1 1 34 - 7 35 18
338 1 0 37 + 30 40 9
339 0 57 45 - 74 28 20
340 1 0 35 - 6 51 58
341 1 0 46 - 9 11 10
341 1 0 46 - 9 11 10
341 1 0 48 - 9 11 14
342 1 0 50 - 6 46 20
343 0 58 24 - 23 13 28
344 0 58 25 - 23 13 44
345 1 1 22 - 6 53 3
346 0 59 5 - 72 10 38
347 1 1 35 - 6 44 1
348 1 0 52 - 53 14 42
349 1 1 51 - 6 47 59
350 1 1 57 - 6 47 43
351 1 1 58 - 1 56 11
352 1 2 9 - 4 14 43
353 1 2 25 - 1 57 25
354 1 3 16 + 22 20 34
355 1 3 7 - 6 19 25
356 1 3 7 - 6 59 17
357 1 3 22 - 6 20 21
358 1 5 11 + 62 1 16
359 1 4 17 - 0 45 52
360 1 2 52 - 65 36 32
361 1 2 11 - 71 36 24
362 1 3 14 - 70 50 52
363 1 6 16 - 16 32 32
364 1 4 41 - 0 48 10
365 1 4 19 - 35 7 20
366 1 6 26 + 62 13 44
367 1 5 49 - 12 7 42
368 1 4 22 - 43 16 34
369 1 5 9 - 17 45 33
370 1 6 45 + 32 25 45
371 1 3 26 - 72 3 54
372 1 6 45 + 32 25 45
373 1 6 58 + 32 18 32
374 1 7 6 + 32 47 41
375 1 7 6 + 32 20 55
376 1 3 53 - 72 49 26
377 1 6 35 - 20 19 53
378 1 6 12 - 30 10 41
379 1 7 16 + 32 31 13
380 1 7 18 + 32 28 58
381 1 8 20 + 61 35 0
382 1 7 24 + 32 24 12
383 1 7 25 + 32 24 44
384 1 7 25 + 32 17 34
385 1 7 27 + 32 19 10
386 1 7 31 + 32 21 45
387 1 7 33 + 32 23 27
388 1 7 47 + 32 18 38
389 1 8 30 + 39 41 42
390 1 7 54 + 32 26 1
391 1 7 23 + 0 55 33
392 1 8 23 + 33 8 0
393 1 8 37 + 39 38 38
394 1 8 26 + 33 8 52
395 1 5 7 - 71 59 39
396 1 8 9 + 4 31 51
397 1 8 31 + 33 6 35
398 1 8 54 + 32 30 54
399 1 8 59 + 32 38 1
400 1 9 3 + 32 43 59
401 1 9 8 + 32 45 36
402 1 9 13 + 32 48 21
403 1 9 14 + 32 45 6
404 1 9 27 + 35 43 6
405 1 8 34 - 46 40 6
406 1 7 24 - 69 52 34
407 1 10 37 + 33 7 31
408 1 10 51 + 33 9 8
409 1 9 33 - 35 48 20
410 1 10 59 + 33 9 9
411 1 7 56 - 71 46 7
412 1 10 20 - 20 0 54
413 1 12 31 - 2 47 36
414 1 11 18 + 33 6 49
415 1 10 6 - 35 29 25
416 1 7 59 - 72 21 25
417 1 11 6 - 18 8 55
418 1 10 36 - 30 13 16
419 1 8 17 - 72 53 0
420 1 12 14 + 32 7 25
421 1 12 10 + 32 7 23
422 1 9 25 - 71 46 0
423 1 11 22 - 29 14 4
424 1 11 28 - 38 5 1
425 1 13 3 + 38 46 9
426 1 12 49 - 0 17 23
427 1 12 19 - 32 3 40
428 1 12 56 + 0 58 53
429 1 12 57 - 0 20 42
430 1 12 60 - 0 15 9
431 1 14 5 + 33 42 19
432 1 11 46 - 61 31 39
433 1 15 9 + 60 7 33
434 1 12 14 - 58 14 50
434 1 12 30 - 58 12 28
435 1 13 60 + 2 4 16
436 1 15 58 + 58 48 42
437 1 14 22 + 5 55 35
438 1 13 34 - 37 54 5
439 1 13 47 - 31 44 50
440 1 12 48 - 58 16 58
441 1 13 51 - 31 47 20
442 1 14 39 - 1 1 14
443 1 15 8 + 33 22 40
444 1 15 50 + 31 4 50
445 1 14 53 + 1 55 3
446 1 16 4 + 4 17 40
447 1 15 38 + 33 3 59
448 1 15 17 - 1 37 31
449 1 16 8 + 33 5 20
450 1 15 30 - 0 51 41
451 1 16 12 + 33 3 49
452 1 16 15 + 31 2 0
453 1 16 17 + 33 0 53
454 1 14 22 - 55 24 2
454 1 14 25 - 55 23 50
455 1 15 58 + 5 10 42
456 1 13 46 - 73 17 30
457 1 19 33 + 58 17 42
458 1 14 52 - 71 33 4
459 1 18 8 + 17 33 45
460 1 14 38 - 73 17 30
461 1 17 20 - 33 50 28
462 1 18 11 + 4 13 35
463 1 18 58 + 16 19 31
464 1 19 27 + 34 57 21
465 1 15 43 - 73 19 27
466 1 17 14 - 58 54 35
467 1 19 10 + 3 18 5
468 1 19 48 + 32 46 2
469 1 19 33 + 14 52 19
470 1 19 45 + 3 24 33
471 1 19 60 + 14 47 9
472 1 20 29 + 32 42 30
473 1 19 55 + 16 32 42
474 1 20 7 + 3 24 58
475 1 20 2 + 14 51 42
476 1 20 20 + 16 1 14
477 1 21 20 + 40 29 19
478 1 20 9 - 22 22 41
479 1 21 16 + 3 51 46
480 1 20 34 - 9 52 49
481 1 21 13 - 9 12 40
482 1 20 20 - 40 57 58
483 1 21 56 + 33 31 14
484 1 19 35 - 58 31 28
485 1 21 28 + 7 1 5
486 1 21 43 + 5 20 47
487 1 21 55 - 16 22 12
488 1 21 47 + 5 15 21
489 1 21 54 + 9 12 23
490 1 22 3 + 5 22 4
491 1 21 20 - 34 3 49
491 1 20 5 - 33 54 2
492 1 22 14 + 5 25 1
493 1 22 9 + 0 56 47
494 1 22 55 + 33 10 22
495 1 22 56 + 33 28 15
496 1 23 12 + 33 31 41
497 1 22 24 - 0 52 29
498 1 23 11 + 33 29 24
499 1 23 12 + 33 27 35
500 1 22 39 + 5 23 16
501 1 23 22 + 33 26 1
502 1 22 56 + 9 2 58
503 1 23 28 + 33 19 56
504 1 23 28 + 33 12 14
505 1 22 57 + 9 28 8
506 1 23 36 + 33 14 38
507 1 23 40 + 33 15 24
508 1 23 41 + 33 16 49
509 1 23 24 + 9 26 0
510 1 23 56 + 33 29 51
511 1 23 31 + 11 17 27
512 1 23 60 + 33 54 26
513 1 24 27 + 33 47 56
514 1 24 4 + 12 55 2
515 1 24 39 + 33 28 20
516 1 24 8 + 9 33 7
517 1 24 44 + 33 25 44
518 1 24 18 + 9 19 51
519 1 24 29 - 1 38 29
520 1 24 35 + 3 47 39
521 1 24 34 + 1 43 53
522 1 24 46 + 9 59 42
523 1 25 21 + 34 1 31
524 1 24 48 + 9 32 19
525 1 24 53 + 9 42 14
526 1 23 54 - 35 3 56
526 1 23 57 - 35 4 9
527 1 23 58 - 35 6 55
527 1 23 59 - 35 7 41
528 1 25 34 + 33 40 14
529 1 25 40 + 34 42 47
530 1 24 42 - 1 35 13
531 1 26 19 + 34 45 15
532 1 25 17 + 9 15 51
533 1 25 31 + 1 45 33
534 1 24 45 - 38 7 44
535 1 25 31 - 1 24 32
536 1 26 22 + 34 42 12
537 1 25 21 + 34 1 31
538 1 25 26 - 1 33 3
539 1 25 22 - 18 9 52
540 1 27 9 - 20 2 12
541 1 25 44 - 1 22 46
542 1 26 31 + 34 40 34
543 1 25 50 - 1 17 33
544 1 25 12 - 38 5 40
545 1 25 59 - 1 20 26
546 1 25 13 - 38 4 9
547 1 26 1 - 1 20 42
548 1 26 3 - 1 13 31
549 1 25 7 - 38 0 26
550 1 26 42 + 2 1 20
551 1 27 41 + 37 10 59
552 1 26 10 + 33 24 23
553 1 26 13 + 33 24 17
554 1 27 10 - 22 43 32
554 1 27 10 - 22 43 25
555 1 27 12 - 22 45 42
556 1 27 13 - 22 41 50
557 1 26 25 - 1 38 18
558 1 27 16 - 1 58 14
559 1 29 31 + 63 18 6
560 1 27 25 - 1 54 45
561 1 28 19 + 34 18 30
562 1 28 29 + 48 23 13
563 1 25 22 - 18 9 52
564 1 27 48 - 1 52 43
565 1 28 10 - 1 18 21
566 1 29 3 + 32 19 56
567 1 27 2 - 10 15 53
568 1 27 57 - 35 43 3
569 1 29 7 + 11 7 54
570 1 28 59 - 0 56 55
571 1 29 56 + 32 30 3
572 1 28 36 - 39 18 26
573 1 30 49 + 41 15 26
574 1 29 3 - 35 35 55
575 1 30 46 + 21 26 25
576 1 28 57 - 51 35 53
577 1 30 41 - 1 59 39
578 1 30 29 - 22 40 0
579 1 31 47 + 33 36 52
580 1 30 41 - 1 59 39
581 1 33 23 + 60 39 30
582 1 31 58 + 33 28 32
583 1 29 44 - 18 20 22
584 1 31 21 - 6 52 2
585 1 31 42 - 0 55 58
586 1 31 37 - 6 53 35
587 1 32 33 + 35 21 30
588 1 32 46 + 30 38 56
589 1 32 40 - 12 2 32
590 1 33 41 + 44 55 45
591 1 33 31 + 35 40 6
592 1 33 12 + 30 38 47
593 1 32 21 - 12 21 16
594 1 32 57 - 16 32 7
595 1 33 34 + 30 41 32
596 1 32 52 - 7 1 55
597 1 32 15 - 33 29 49
598 1 33 52 + 30 39 29
599 1 32 54 - 12 11 27
600 1 33 5 - 7 18 44
601 1 33 7 - 12 12 30
602 1 29 26 - 73 33 26
603 1 34 44 + 30 13 57
604 1 34 33 + 30 47 4
605 1 35 2 + 41 14 52
606 1 34 50 + 21 25 5
607 1 34 16 - 7 24 41
608 1 35 28 + 33 39 23
609 1 36 24 + 64 32 12
610 1 33 33 - 20 8 38
611 1 33 33 - 20 7 38
612 1 33 58 - 36 29 35
613 1 34 18 - 29 25 7
614 1 35 52 + 33 40 55
615 1 35 6 - 7 20 25
616 1 36 4 + 33 46 15
617 1 34 3 - 9 46 25
618 1 35 52 + 33 40 55
619 1 34 52 - 36 29 22
620 1 36 60 + 42 19 22
621 1 36 49 + 35 30 45
622 1 36 0 + 0 39 49
623 1 35 7 - 36 29 24
624 1 35 51 - 10 0 11
625 1 35 4 - 41 26 15
626 1 35 12 - 39 8 46
627 1 35 52 + 33 40 55
628 1 36 42 + 15 47 0
629 1 39 2 + 72 52 6
630 1 35 37 - 39 21 28
631 1 36 47 + 5 50 9
632 1 37 18 + 5 52 38
633 1 36 23 - 37 19 15
634 1 38 19 + 35 21 53
