NI RH RM RS V DG DM DS
308 3 16 16 + 41 10 53
309 3 16 6 + 40 48 17
310 3 16 43 + 41 19 29
311 3 16 47 + 40 0 15
312 3 18 8 + 41 45 16
313 3 20 58 + 41 53 39
314 3 18 50 - 1 58 23
315 3 19 9 + 4 2 21
316 3 21 20 + 41 55 43
316 3 21 20 + 41 55 55
317 3 18 55 - 12 44 23
318 3 20 44 - 14 34 5
319 2 1 51 + 27 2 38
320 3 25 59 + 40 47 21
321 3 24 30 - 14 59 9
322 3 26 1 + 3 40 49
323 3 29 34 + 41 51 21
324 3 26 28 - 21 21 20
325 3 30 49 - 7 2 47
326 3 30 37 - 14 25 30
327 3 31 10 - 14 41 32
328 3 31 11 - 14 38 16
329 3 32 1 + 0 16 48
330 3 32 8 + 0 21 12
331 3 32 19 + 0 16 58
332 3 32 37 + 1 22 59
333 3 34 1 - 5 6 26
334 3 45 17 + 76 38 15
335 3 35 31 - 34 26 48
336 3 37 0 + 23 24 0
337 3 36 21 - 6 42 54
338 3 37 38 + 3 7 6
339 3 38 2 - 18 23 59
340 3 39 29 - 13 6 54
341 3 40 0 + 22 0 0
342 3 46 48 + 68 5 44
343 3 40 7 - 18 26 38
344 3 41 30 - 4 39 56
345 3 41 9 - 18 18 52
346 3 41 25 - 18 22 16
347 3 42 33 - 4 17 55
348 3 44 34 + 32 9 47
349 3 46 20 + 23 56 23
350 3 44 37 - 11 48 3
351 3 47 33 + 35 2 50
352 3 47 37 - 8 43 54
353 3 53 0 + 25 48 0
354 3 53 0 + 23 0 0
355 3 53 46 + 19 58 27
356 4 7 46 + 69 48 43
357 4 3 44 + 22 9 35
358 4 3 43 + 19 53 44
359 4 12 28 + 27 42 11
360 4 9 0 + 26 6 0
361 4 18 51 + 58 14 58
362 4 16 42 - 12 11 59
363 4 18 55 + 3 1 56
364 4 19 7 + 3 11 22
365 4 19 14 + 3 20 56
366 4 19 42 + 2 21 37
367 4 20 41 - 14 46 50
368 4 22 43 - 12 36 53
369 4 23 28 - 11 47 22
370 4 24 2 - 9 23 43
371 4 30 13 - 0 33 39
372 4 30 4 - 5 0 36
373 4 30 43 - 4 52 11
374 4 32 33 + 16 38 6
375 4 31 3 - 12 58 25
376 4 31 14 - 12 25 59
377 4 31 17 - 12 27 18
378 4 31 28 - 12 17 57
379 4 31 51 - 7 14 16
380 4 31 41 - 12 55 38
381 4 44 28 + 75 38 23
382 4 37 55 - 9 31 11
383 4 38 58 + 9 53 33
384 4 39 18 - 7 50 20
385 4 39 31 - 7 5 49
386 4 39 59 - 9 27 21
387 4 41 44 - 7 5 11
388 4 41 52 - 7 18 15
388 4 41 54 - 7 18 21
389 4 41 60 - 7 18 39
390 4 42 4 - 7 12 21
391 4 57 22 + 78 11 23
392 4 46 26 + 3 30 20
393 4 47 52 - 15 31 31
394 4 48 48 - 6 16 0
395 4 49 34 + 0 15 12
396 4 57 59 + 68 19 23
397 5 1 7 + 40 25 30
398 4 58 13 - 7 46 51
399 5 1 44 - 4 17 18
400 5 3 46 - 15 49 10
401 5 4 20 - 10 4 32
402 5 6 15 - 9 6 26
403 5 15 16 + 39 58 22
